Customer_ID,Age,Gender,City,Income_Level,Purchase_Mode,Brand_Purchased,Price_Range,Payment_Mode,Purchase_Frequency,Satisfaction_Rating,Muneeb
CUST00001,56,True,Pune,Low,Online,Dell,30K-50K,UPI,Rare,4,48
CUST00002,46,True,Kolkata,Medium,Online,MSI,Below 30K,Cash,Occasional,2,48
CUST00003,32,True,Bangalore,Low,Online,Samsung,80K-1.2L,UPI,Occasional,3,48
CUST00004,25,True,Jaipur,Medium,Offline,Samsung,Below 30K,Credit Card,Rare,4,48
CUST00005,38,True,Pune,High,Online,MSI,80K-1.2L,Cash,Rare,3,48
CUST00006,56,True,Ahmedabad,High,Online,Acer,30K-50K,EMI,Occasional,4,48
CUST00007,36,True,Hyderabad,Medium,Offline,Lenovo,30K-50K,Credit Card,Rare,1,48
CUST00008,40,True,Kolkata,Low,Offline,Lenovo,80K-1.2L,UPI,Occasional,3,48
CUST00009,28,True,Ahmedabad,Low,Online,Apple,30K-50K,EMI,Rare,5,48
CUST00010,28,True,Bangalore,Medium,Offline,Lenovo,80K-1.2L,Credit Card,Rare,5,48
CUST00011,41,True,Pune,Low,Online,HP,30K-50K,Cash,Frequent,5,48
CUST00012,53,True,Delhi,Medium,Online,Acer,30K-50K,Credit Card,Rare,3,48
CUST00013,57,True,Bangalore,Low,Online,Acer,50K-80K,Debit Card,Rare,2,48
CUST00014,41,True,Delhi,Medium,Offline,Apple,30K-50K,UPI,Rare,4,48
CUST00015,20,True,Kolkata,Low,Online,MSI,30K-50K,Cash,Rare,1,48
CUST00016,39,True,Pune,High,Online,Dell,50K-80K,Cash,Rare,1,48
CUST00017,19,True,Mumbai,Medium,Offline,Lenovo,30K-50K,Debit Card,Rare,3,48
CUST00018,41,True,Jaipur,Medium,Online,HP,30K-50K,EMI,Rare,5,48
CUST00019,47,True,Mumbai,Low,Offline,MSI,80K-1.2L,Cash,Frequent,1,48
CUST00020,55,True,Mumbai,Medium,Online,Apple,80K-1.2L,EMI,Rare,1,48
CUST00021,19,True,Ahmedabad,Low,Online,MSI,30K-50K,EMI,Rare,2,48
CUST00022,38,True,Hyderabad,Medium,Online,Apple,50K-80K,EMI,Rare,1,48
CUST00023,50,True,Hyderabad,High,Offline,Dell,50K-80K,Credit Card,Rare,1,48
CUST00024,29,True,Jaipur,Medium,Online,Asus,50K-80K,Debit Card,Rare,4,48
CUST00025,39,True,Chennai,Medium,Online,Samsung,30K-50K,UPI,Rare,1,48
CUST00026,42,True,Ahmedabad,Medium,Online,Lenovo,Above 1.2L,Debit Card,Frequent,4,48
CUST00027,44,True,Chennai,High,Offline,HP,Below 30K,Cash,Rare,5,48
CUST00028,59,True,Delhi,High,Online,Apple,50K-80K,Debit Card,Rare,2,48
CUST00029,45,True,Ahmedabad,Medium,Online,MSI,80K-1.2L,UPI,Occasional,1,48
CUST00030,33,True,Pune,Medium,Online,Lenovo,50K-80K,Credit Card,Rare,2,48
CUST00031,32,True,Chennai,Medium,Offline,MSI,80K-1.2L,Cash,Occasional,2,48
CUST00032,20,True,Jaipur,Low,Online,HP,30K-50K,Credit Card,Rare,2,48
CUST00033,54,True,Jaipur,Medium,Online,Acer,30K-50K,Cash,Occasional,3,48
CUST00034,24,True,Ahmedabad,Medium,Offline,Acer,80K-1.2L,UPI,Occasional,4,48
CUST00035,38,True,Mumbai,Low,Offline,Samsung,30K-50K,Credit Card,Occasional,2,48
CUST00036,26,True,Pune,Low,Online,Samsung,50K-80K,UPI,Rare,5,48
CUST00037,56,True,Kolkata,Medium,Offline,HP,Below 30K,UPI,Occasional,1,48
CUST00038,35,True,Pune,High,Online,Samsung,50K-80K,Debit Card,Rare,2,48
CUST00039,21,True,Jaipur,Medium,Online,Acer,50K-80K,Cash,Occasional,2,48
CUST00040,42,True,Delhi,Medium,Online,Apple,30K-50K,EMI,Rare,1,48
CUST00041,31,True,Chennai,Medium,Online,Lenovo,30K-50K,EMI,Rare,5,48
CUST00042,26,True,Chennai,Medium,Offline,HP,50K-80K,Credit Card,Rare,2,48
CUST00043,43,True,Delhi,Medium,Online,Apple,Below 30K,UPI,Rare,2,48
CUST00044,19,True,Bangalore,Medium,Online,Lenovo,50K-80K,Debit Card,Rare,5,48
CUST00045,37,True,Ahmedabad,Low,Online,Lenovo,50K-80K,Cash,Occasional,2,48
CUST00046,45,True,Jaipur,Medium,Online,Apple,30K-50K,Credit Card,Rare,5,48
CUST00047,24,True,Hyderabad,Low,Online,Lenovo,50K-80K,UPI,Occasional,2,48
CUST00048,25,True,Delhi,Medium,Online,Asus,30K-50K,EMI,Rare,1,48
CUST00049,52,True,Delhi,High,Online,HP,30K-50K,EMI,Rare,5,48
CUST00050,31,True,Pune,Low,Offline,HP,30K-50K,Cash,Rare,1,48
CUST00051,34,True,Ahmedabad,Medium,Online,Lenovo,50K-80K,Cash,Rare,1,48
CUST00052,53,True,Ahmedabad,Medium,Online,Apple,80K-1.2L,Cash,Rare,2,48
CUST00053,57,True,Hyderabad,High,Online,Dell,Below 30K,Credit Card,Frequent,5,48
CUST00054,21,True,Ahmedabad,Medium,Online,Samsung,30K-50K,Cash,Rare,3,48
CUST00055,19,True,Mumbai,Medium,Offline,Acer,Below 30K,Credit Card,Occasional,1,48
CUST00056,23,True,Jaipur,High,Offline,Lenovo,50K-80K,Debit Card,Rare,1,48
CUST00057,59,True,Mumbai,Medium,Online,Dell,30K-50K,UPI,Occasional,1,48
CUST00058,21,True,Bangalore,Medium,Online,Lenovo,50K-80K,EMI,Rare,2,48
CUST00059,46,True,Jaipur,Medium,Online,Dell,30K-50K,Credit Card,Frequent,2,48
CUST00060,35,True,Kolkata,High,Online,Lenovo,80K-1.2L,UPI,Rare,1,48
CUST00061,43,True,Jaipur,Low,Online,Apple,50K-80K,Cash,Rare,2,48
CUST00062,51,True,Jaipur,Medium,Offline,Acer,80K-1.2L,EMI,Rare,2,48
CUST00063,27,True,Hyderabad,Medium,Offline,MSI,Below 30K,Credit Card,Rare,2,48
CUST00064,53,True,Mumbai,Medium,Online,MSI,50K-80K,Cash,Rare,4,48
CUST00065,31,True,Pune,Medium,Offline,Dell,50K-80K,UPI,Rare,5,48
CUST00066,48,True,Hyderabad,Medium,Offline,Samsung,50K-80K,Debit Card,Occasional,2,48
CUST00067,32,True,Jaipur,Low,Offline,Samsung,Below 30K,UPI,Rare,4,48
CUST00068,25,True,Pune,Medium,Offline,Asus,Above 1.2L,Credit Card,Rare,4,48
CUST00069,31,True,Chennai,Medium,Online,Apple,30K-50K,Debit Card,Rare,2,48
CUST00070,40,True,Pune,High,Online,Acer,30K-50K,Debit Card,Occasional,4,48
CUST00071,57,True,Delhi,Low,Offline,Lenovo,30K-50K,Cash,Rare,3,48
CUST00072,38,True,Hyderabad,High,Offline,Dell,50K-80K,UPI,Rare,4,48
CUST00073,33,True,Hyderabad,Medium,Offline,Samsung,50K-80K,Credit Card,Rare,5,48
CUST00074,35,True,Delhi,Low,Online,Acer,30K-50K,Debit Card,Rare,4,48
CUST00075,41,True,Chennai,Medium,Online,HP,30K-50K,Cash,Rare,2,48
CUST00076,43,True,Ahmedabad,Low,Online,Samsung,50K-80K,Debit Card,Frequent,1,48
CUST00077,42,True,Ahmedabad,High,Online,Apple,30K-50K,UPI,Rare,3,48
CUST00078,58,True,Ahmedabad,High,Online,Dell,80K-1.2L,EMI,Rare,4,48
CUST00079,46,True,Ahmedabad,Low,Online,Apple,80K-1.2L,Credit Card,Occasional,3,48
CUST00080,32,True,Mumbai,Low,Online,Dell,30K-50K,EMI,Rare,5,48
CUST00081,18,True,Delhi,Medium,Online,MSI,Below 30K,UPI,Occasional,4,48
CUST00082,42,True,Chennai,Medium,Online,HP,80K-1.2L,EMI,Frequent,4,48
CUST00083,24,True,Jaipur,Medium,Online,Asus,Below 30K,UPI,Frequent,3,48
CUST00084,26,True,Bangalore,Medium,Online,HP,30K-50K,UPI,Rare,4,48
CUST00085,41,True,Hyderabad,Medium,Online,Lenovo,30K-50K,Cash,Rare,4,48
CUST00086,18,True,Pune,Low,Offline,Apple,30K-50K,EMI,Frequent,1,48
CUST00087,25,True,Ahmedabad,High,Online,Asus,80K-1.2L,Debit Card,Rare,3,48
CUST00088,41,True,Pune,High,Online,Apple,50K-80K,UPI,Rare,2,48
CUST00089,28,True,Bangalore,Medium,Offline,Acer,Above 1.2L,EMI,Rare,2,48
CUST00090,34,True,Hyderabad,High,Online,Dell,30K-50K,Debit Card,Rare,5,48
CUST00091,25,True,Kolkata,Low,Offline,Lenovo,30K-50K,Credit Card,Frequent,1,48
CUST00092,52,True,Chennai,Low,Online,Lenovo,Above 1.2L,Debit Card,Occasional,3,48
CUST00093,52,True,Mumbai,Medium,Offline,Apple,80K-1.2L,EMI,Rare,3,48
CUST00094,50,True,Pune,Medium,Online,MSI,50K-80K,EMI,Occasional,1,48
CUST00095,22,True,Ahmedabad,Medium,Offline,Lenovo,30K-50K,Debit Card,Rare,1,48
CUST00096,59,True,Delhi,High,Offline,Samsung,50K-80K,Debit Card,Occasional,5,48
CUST00097,56,True,Pune,High,Online,Apple,30K-50K,UPI,Rare,2,48
